"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1869,0.9,2.2,3.2,1.4,-0.9,2,3.6,4.2,-0.8,1.5,-0.9,-1.6,3,1.4,3.4,-1,5.2,-6.8,-0.6,-6.8
"historical",1870,-0.3,4.3,1.2,-3.9,-0.1,0.5,1.7,1.3,-0.3,-3,1,-0.7,2.1,-0.3,-3.5,-2.2,3.2,-6.7,-0.4,-6.7
"historical",1871,-0.3,3.8,3.1,-2.8,0.9,1.5,4,2.6,0.2,-3.7,-1.8,-4.5,3,-0.7,0.4,-5,3.3,-4.7,-4.3,-5
"historical",1872,1.1,4.6,1.8,-0.9,-0.8,4.3,2.3,1.5,-1.1,0.9,-0.4,-1.6,2.7,-4.1,0.9,-5.8,5.3,-5.9,-4.4,-5.9
"historical",1873,0.6,8.4,1.8,-4,-0.1,0.7,0.2,-0.3,-1.3,-4.1,1,-5.8,5.3,2.4,1.5,-0.4,3.2,-3.9,-3.9,-5.8
"historical",1874,0.4,6.8,-1.5,1.3,0.6,0.7,-1.6,1.8,1,1,-4.6,-1,3.2,0.2,-1.1,-4.1,3,-6.2,-1.2,-6.2
"historical",1875,-2,5.2,-2.7,-0.8,1.3,-1,2.4,0.8,-3.5,-5.2,-2.3,-3.8,1.6,0.5,-1.9,-2.2,2.3,-10.6,-3.4,-10.6
"historical",1876,1.2,6.3,2.5,0.1,-1.4,2,-0.9,3.7,-2.6,-0.2,-2.8,-2.9,1.5,1.7,2.7,-3.7,2.6,-9.8,-1.9,-9.8
"historical",1877,0.5,4.5,-1.7,-2.1,0.4,-0.1,-0.8,3.4,1.9,-3.4,-1.9,-1.5,2,0.8,-4.4,-3.7,4.4,-7.9,-2.8,-7.9
"historical",1878,-0.2,6.2,1.2,-1.2,1.4,1.4,2.7,4.4,0.2,0.4,-1.4,-4.8,4,0.2,0.7,-1.1,2.9,-6.8,-3.1,-6.8
"historical",1879,-4.3,4.2,3.2,-0.3,-0.9,-0.3,2.8,4.5,-1.2,0.9,-4.2,-1.3,2.5,0.4,2.7,-3.4,3.2,-7,-5.7,-7
"historical",1880,1.2,5.7,0.8,0.3,1.1,0.4,0.4,1.8,-3.7,-0.7,0.7,-2.2,4.7,-0.9,0.9,-3.3,0.7,-2.1,-4.3,-4.3
"historical",1881,-0.1,8,1.1,-1.7,0.5,0.8,-2.4,2.2,-1.7,-0.9,-0.1,-2.8,4,-1.4,-1,-4.1,4.8,-5.8,-2,-5.8
"historical",1882,-0.9,3.6,0.8,-1.3,-0.2,2.4,0.6,3.1,-0.3,0,2,-8.3,2.7,1.8,0.7,-2.4,4.5,-6.6,-5.4,-8.3
"historical",1883,0.5,6.2,1.8,-1.3,0.5,-2.2,1.1,3.6,-0.3,-2.1,-0.9,-2.9,0.6,0,-1.4,-2.8,3.5,-6.1,-1.7,-6.1
"historical",1884,1,4,-3,-1.2,-0.7,1.7,-0.9,1.2,-1.8,-4.8,-0.1,-4.6,5,1.7,-3.4,-4.8,0.2,-6.2,-2.2,-6.2
"historical",1885,0.5,2.8,2,-3,1.6,-0.2,0.5,0.9,-2.6,-1.1,-5.3,-2.6,0.9,-1,-0.5,-3.5,3.3,-10,-2.3,-10
"historical",1886,-2,2.3,-0.6,-2.2,-1.7,1.4,0.7,0.8,-4,-0.9,-1.8,-2,3.4,-0.4,-0.2,-5.1,3.1,-2.4,-3.1,-5.1
"historical",1887,0.3,6.8,-0.2,-0.8,1.2,1.6,3.9,2.1,-0.9,-2,-2,-5.6,2.2,-2.2,-0.6,-2.3,4,-6.9,-0.7,-6.9
"historical",1888,0.2,9.2,0.9,-1.1,-1.5,1.2,1.8,2.5,-2.2,-1.6,-4.4,-5.2,3.8,-0.2,0.8,-2.8,-0.4,-2.9,-0.9,-5.2
"historical",1889,0.3,7.8,-1.8,-1,-0.5,-0.7,4.5,1.6,-0.1,-1.6,-1.6,-5.8,2.3,-0.2,1,-3.4,1.6,-4.4,-2,-5.8
"historical",1890,0,4.2,2,-1.3,1.5,0.4,0.8,4.3,-1.9,-3.5,-1.8,-2,0.2,2.3,0.1,-2.2,1.1,-6.9,-2.5,-6.9
"historical",1891,0.4,5.6,2.7,-3.9,1.9,-1.2,-0.6,3.6,-6,-1.8,-6.9,-3.2,3.7,2.7,1,-2.3,3.9,-2,-2.4,-6.9
"historical",1892,0.8,4.8,2.1,0.4,-0.3,2.8,-1.9,4.5,0.9,-0.7,-1.1,-2.9,2.4,-1.1,1.4,-4.8,1.6,-7.3,-4.3,-7.3
"historical",1893,0.1,7.2,1.3,-0.1,0.5,2.1,1.7,5.7,0.3,-0.1,-0.5,-4.9,3.8,-2.7,-1,-3.4,0,-2.4,-3.7,-4.9
"historical",1894,0.3,4.7,3.4,-1.1,0.9,1.8,1.4,0.5,-0.2,-4.7,-1.8,-1.6,2.6,0.5,-3.8,-5.9,2,-7.2,-3.4,-7.2
"historical",1895,-0.5,4.4,1.2,-0.8,0.1,0,0.9,3.9,-0.8,-0.2,-2.5,-5.4,3.9,0.1,1.2,-5.4,5.2,-4.3,-2.7,-5.4
"historical",1896,0.4,4,4.3,0,1.6,1.3,-1.5,4.6,-1.5,1.5,-0.7,-5,2.1,-1,2.2,-5.7,3.2,-9.1,-1.1,-9.1
"historical",1897,1.2,10.4,3.1,0.4,-0.3,0.3,-3.3,2.9,-3.8,1.3,-3.1,-2.2,3.6,2.3,-0.4,-4.9,5,-6.5,-1.8,-6.5
"historical",1898,0.9,3.2,3.6,0.6,0,-2,2.5,2.3,2,0.4,-2,-4.6,2.1,2.8,0.5,-2.9,2.3,-6.3,-0.9,-6.3
"historical",1899,-1,5.2,-3.5,-1.3,1.4,2.2,2.1,0.9,-2.5,0.5,-7,-1.8,2,-3.7,-0.2,-3.3,4.8,-7.6,-6,-7.6
"historical",1900,0.2,7.3,1.1,-1.6,1.2,-1.5,-0.7,3.6,-1.6,-0.3,1.8,-3.9,3.1,-0.6,-0.4,-6.6,0.1,-5,-5.1,-6.6
"historical",1901,0.1,9.8,-2.9,-0.6,3,1.1,2.7,5.6,2.3,-2.7,-3,-4.4,4,2.2,0.6,-1.4,4.7,-9,-6.2,-9
"historical",1902,-0.4,4.9,0.7,-1.6,-0.6,2,1.8,3.4,-1.8,-0.7,1.4,-3.7,2.5,-0.3,1.1,-3.3,0,-7.2,-3,-7.2
"historical",1903,-2.7,6.8,1.8,-0.7,-5,1.4,-0.7,4.3,1.1,1.2,0.5,-2.4,1.5,-3.3,0.6,-1.5,2.8,-1.9,-2,-5
"historical",1904,0.8,5.4,3.9,-1.5,-0.5,1.5,-2.2,2,-1,-0.4,-9,-2.6,1.7,0,1.4,-2.2,2.3,-4.3,-2.3,-9
"historical",1905,0.5,2.9,1.2,-3.2,2,1.1,2.1,3.6,-0.7,-1.6,-2.2,-4.1,0.8,0.1,-2.4,-5.9,3.3,-7.3,-0.9,-7.3
"historical",1906,-0.5,2.8,3.6,-2.9,0.1,1.6,1.7,0.9,-1,0.8,-0.3,-3.9,2.8,1.2,0.4,-2.4,4.4,-5.8,-2.4,-5.8
"historical",1907,0.9,3,-0.2,-1.2,1.5,2.6,-0.9,1.8,-3,-3,-7.6,-3,2.4,0.5,-3.4,-5.8,1,-5.5,-2.5,-7.6
"historical",1908,0.8,7.3,1.7,-0.4,-2.5,-0.8,-0.5,1.1,-0.8,-1.8,-0.6,-1.7,3.7,1.2,-3.8,-4.5,2.5,-8,-5.2,-8
"historical",1909,1.2,6.8,1.7,0.6,0.6,0.2,1.7,2.1,-1.2,-4.6,-1.9,-1.5,3.9,0.1,-1.7,-4,5.1,-2.6,-4.6,-4.6
"historical",1910,-0.8,4.5,-0.4,-4,0.4,1.3,2.8,6.1,-0.5,-2.3,-2.3,-2.8,3.9,2.5,0.5,-2.9,5.5,-4.9,-3.3,-4.9
"historical",1911,-4.2,4.2,0.7,-0.9,2.3,0.3,1.5,3,-2.3,0.4,-2.2,-2.6,5.7,2.9,0.5,-2.5,3.7,-8,-5.7,-8
"historical",1912,1.6,5.2,0.9,0.4,1,-3,0.9,4.2,-0.8,-1.1,-0.8,-4,2.8,2.5,0.1,-4.3,4.6,-10.1,-3.7,-10.1
"historical",1913,-1.2,9.3,0.6,-4.6,-0.2,1.7,1.3,3.3,-2.8,-2,-7.7,-3.1,0.8,1,0.4,-3.6,3.7,-3.7,-1.2,-7.7
"historical",1914,-0.6,9.2,-0.7,-2.5,2.7,0.1,2.9,4,-0.1,0.2,0.3,-2.8,2.1,1.1,0.9,-4.8,3.6,-8.9,-4.7,-8.9
"historical",1915,0.3,6,1.8,1.6,2.5,2.4,3.4,5.6,0.7,0.2,-2.1,-4.4,4.9,-0.6,1,-4.4,2.4,-4,-0.5,-4.4
"historical",1916,-0.4,5.2,1.9,-0.4,0.6,1.5,0.8,3.4,-0.6,-2.5,0.3,-1.2,-0.8,0.4,-1.9,-5.7,0.3,-7.9,-5,-7.9
"historical",1917,0.4,2.8,-0.5,1.2,-0.9,-1.1,2.9,5.2,-0.9,-2.3,0.7,-6,3.4,1.4,0.1,-2.9,2.7,-7.4,-2,-7.4
"historical",1918,0.6,7,1.8,-1.4,-0.6,1.5,-1.3,-0.6,0.4,-0.1,1.5,-2.6,3.2,0.3,-0.9,-3.3,2.9,-9.6,-1.8,-9.6
"historical",1919,1.6,5.7,-0.6,-1.8,0.6,1.4,2.4,1.2,0.4,-4.4,-2,-1.2,3.9,-0.5,-3.5,-5.3,3.1,-1.4,-4.4,-5.3
"historical",1920,0.2,8.2,-0.7,0.2,0.2,0.8,2.3,3.9,0.6,1.3,-0.7,-2.3,3.6,1,-0.5,-2.7,3.9,-5.1,-4.6,-5.1
"historical",1921,-1.1,3.7,1.8,0.8,0.4,0,3.7,3.7,-1.1,-1.8,-1.3,-0.6,4.6,1,-1.3,-6.1,2.9,-5.2,-1.2,-6.1
"historical",1922,-0.6,6.8,1.8,-0.1,1.9,-0.1,2.9,1.2,3.7,-0.4,-6,-2.4,1.3,0.9,2,-2.1,4.9,-4.6,-4.6,-6
"historical",1923,0.1,5.8,1.5,0.9,-4,2.3,3.2,0.4,-0.9,-0.1,-2.3,-0.6,1.7,1.6,-0.4,-5.3,-1.5,-4.8,-3,-5.3
"historical",1924,-0.8,6.3,0.6,1,-0.8,2.2,2.1,-2,-3.6,-0.4,-4,-0.4,3.1,1.4,1.4,-1.9,4.3,-5.3,-3.5,-5.3
"historical",1925,-1.2,6.4,-1.4,-1.7,1.3,2.2,1.4,2.4,-1.4,-1.4,-2.5,-2.7,2,1.2,0.3,-2.8,2.8,-3.5,-1.9,-3.5
"historical",1926,0.1,3.4,-0.4,-1.7,2,2.2,-0.3,3.8,-2,-1.6,-2.9,-3.1,3.9,-0.6,0.6,-5,0.8,-6.3,-4.2,-6.3
"historical",1927,-0.3,3.7,1.6,-0.5,0.1,0.2,0.9,3,0.1,0.1,-0.1,0.2,4.4,0.1,-2.3,-4.4,6.2,-5.2,-3.6,-5.2
"historical",1928,-0.8,7,0.1,-2.3,1.5,1.3,1.9,5.6,-1.6,-0.1,0.2,-2.5,4.6,1,-0.1,-4.8,1.6,-5.3,-3.7,-5.3
"historical",1929,0.6,6.6,3.2,0.6,0.7,1.8,-0.8,1.6,-0.1,0.5,-2,-2.5,4.2,1,0.2,-1.9,1.8,-4.6,-2.2,-4.6
"historical",1930,-2.4,7.4,-3,-0.5,0.5,2.6,-1.6,2.9,-3.1,-3.7,-5.1,-2.5,1.8,0.1,-0.9,-3.5,6.3,-4.6,-4.9,-5.1
"historical",1931,-1,8.3,3.6,-2.3,2.3,2,0.3,1.9,-5.5,-1.2,-0.3,-3.2,0.2,1.1,0,-2.7,5.1,-4,-1.8,-5.5
"historical",1932,0.7,8.2,0.5,1.3,-1,-2,-0.9,4.1,-1.1,-1.6,-2.5,-2.6,0.9,0.8,1,-2,2.4,-5.2,-2.1,-5.2
"historical",1933,1,8.5,3.3,0.1,0.4,2,2.6,2.7,-0.2,-1.7,-0.4,-3,5.1,-0.7,-0.6,-4.1,1.5,-8.7,-3.7,-8.7
"historical",1934,0.3,5,1.4,-0.4,-0.2,2.8,2,2.1,-5.2,-8.5,-1.9,-1.2,3.6,2.8,0.2,-4,1,-4.6,-4.6,-8.5
"historical",1935,-1.4,3.5,2.4,2,2.7,2.9,1.1,3.4,-1.8,0.4,-0.5,-3.3,4.8,0.8,-1.7,-6.8,3.2,-5.6,-2,-6.8
"historical",1936,-0.6,10.2,0.5,2.4,0.3,0.6,2.8,4,-1.9,-2.1,1.2,-2.5,3.7,0.8,-0.8,-5.1,5.6,-4.7,-1.9,-5.1
"historical",1937,1,5,2.6,-1,0,0.6,-0.1,3.4,-2.4,-3.1,-1.8,-1.9,3,0.4,0.6,-5.8,1.8,-11.5,-6,-11.5
"historical",1938,0.5,6.3,-0.1,0.4,-0.4,1.4,1.5,0.1,-2,-1.4,-6.8,-2.5,1.4,1.9,1.3,-4.4,4.8,-3.6,-1.8,-6.8
"historical",1939,-2.2,4.3,4,-2.8,1.5,0.9,2.3,0.8,-0.6,-2.2,-1.3,-4.2,1.9,1.8,-3.3,-4.6,-0.5,-9.2,-3.1,-9.2
"historical",1940,-1.3,6.2,-0.6,-0.9,2.1,0.8,1.2,3.4,-2.7,0.5,-5,-0.5,1.6,-1.3,-2.3,-2.2,4.8,-4.7,-0.9,-5
"historical",1941,0.8,5.6,-1.9,0.2,2.2,0.8,-1.9,3,-1.2,-1.6,-1.9,-2.3,1,-0.9,0.5,-1.4,2.1,-6.6,-3.3,-6.6
"historical",1942,0.1,6,2,-2.4,-1.2,-1,2.6,4.5,-1.5,-1.5,-1.7,-2.2,-0.3,-0.9,-5.2,-3.5,4.2,-7,-4.1,-7
"historical",1943,-0.6,6.5,2,-1.6,1.4,2.7,-1,1.3,-2.8,2.3,-1.9,-1.8,1.5,-1.6,-0.7,-3.7,3.1,-6.2,-0.3,-6.2
"historical",1944,-3.7,5.8,2.5,0.3,1.5,2.1,-3.5,3.8,-3.9,-0.3,2,-3.5,2.3,1.2,1.8,-5,4.1,-7.4,-0.5,-7.4
"historical",1945,1.4,8.7,-4.5,-2.5,1.1,3.1,-1.5,0.2,-1.7,0,-9.5,-3.1,1.7,-3.6,0.1,-6.3,4.6,-4,-1.4,-9.5
"historical",1946,-0.9,4.9,2.3,-4,-2.2,0.9,0.4,0.7,-3.4,-0.6,-1.1,-2.5,2,-0.8,-3.4,-4.8,2.8,-4.3,-3.8,-4.8
"historical",1947,0.4,6.9,2.9,-5.5,-0.1,-0.5,-2.3,2.8,-1,-1.3,-2,-1.8,1.8,0.9,1.3,-1.4,-2,-3.9,-2.6,-5.5
"historical",1948,-0.1,5.7,1.9,-0.1,1.5,2.6,2.3,3.1,1,-3.1,-3.3,-1.8,5,0.4,0.7,-3,2.1,-6.7,-4.1,-6.7
"historical",1949,-0.4,4.8,2.3,-5.5,0.7,0.6,4.9,3,-2.1,0.2,-1.6,-3,3.4,0.9,0.7,-3.2,5.7,-5.6,-2,-5.6
"historical",1950,-1.2,6.9,0.8,0.9,1.3,1.5,1.7,4.6,1.5,-0.3,-6.6,-3.2,4.8,-0.2,2.6,-3.9,5.2,-2,-3.5,-6.6
"historical",1951,-1.9,4.6,1.7,-0.3,2,2,0.1,3.7,-1.6,0.6,-5.9,-4.1,2.3,-0.9,3.1,-0.2,-1.5,-3.1,-4.4,-5.9
"historical",1952,0,8.6,5.4,-0.2,0.6,-0.1,0.3,-0.1,-1.3,-1.7,-2.4,-2.4,4.5,2.4,0.4,-1.4,-5,-11.8,-0.9,-11.8
"historical",1953,0.5,10,0,-2,1.9,3.1,-2.2,4.5,0,-2.8,-0.4,-2.2,5.7,1.5,-1.1,-2.3,1.4,-2.8,-1.3,-2.8
"historical",1954,0.6,8.7,2,-1.8,-0.9,-0.4,1.7,0.9,-2.6,-0.5,-6.6,-0.9,3.6,-0.1,1.5,-3,-0.7,-4.4,-2.5,-6.6
"historical",1955,-1.3,7.6,1.6,-1.6,-0.2,0,0.2,3.4,-2.2,-2.5,1.5,-1.2,2.9,0.8,0.4,-1.9,5.4,-6.6,-2.1,-6.6
"historical",1956,-2.1,7.9,-1.8,-0.8,0.3,1.6,0.7,4,1.2,-1.2,-7.2,-2.5,2.7,2.9,0,-0.1,-0.2,-1.9,-5.1,-7.2
"historical",1957,0.8,9.4,1.7,-1.1,-1.4,1.6,2.1,3.7,0,-0.6,0.2,-2.6,1,1.1,0,-3.9,4.6,-7.8,-3.9,-7.8
"historical",1958,-0.1,6.3,3.6,-2.6,-2.6,1.6,1.2,2.8,1.2,-2,-4.1,-1.5,-1.1,0.9,-0.4,-1.7,4.4,-6.2,-6.4,-6.4
"historical",1959,0.9,6,1.2,-0.7,-0.8,1.5,-0.6,3.4,0.8,-1.8,-0.3,-3.3,1.7,-4.3,-0.1,-5.3,4.3,-3.4,-4.1,-5.3
"historical",1960,0.1,5.4,1.8,0.6,-1.6,2.7,3.2,2.5,-1.5,-0.4,0.5,-2.6,1,-1.2,-0.6,-3.5,5.4,-4,-3.3,-4
"historical",1961,0,6.9,4.5,-2.7,0.7,2.5,0.5,0.5,-1.6,0.1,-0.8,-1.9,4.1,1.1,2.2,-4.4,3.3,-6.6,-2.9,-6.6
"historical",1962,-0.6,7.2,2.5,0,-0.5,1,-2,4.3,-0.7,0.5,-2.1,-4.3,1.1,3.8,1.9,-7.1,3.6,-3,-2.2,-7.1
"historical",1963,0.2,9.5,1.2,-1.9,0.3,1.1,1.5,3.6,-0.7,-2.6,-0.9,-0.3,-2,2.3,-2,-3.7,2.5,-2,-1.9,-3.7
"historical",1964,1,7.4,1.6,-2.3,1.9,-0.7,-0.7,0.6,-0.8,-1.1,-0.3,-3.7,-1.7,0.4,1.3,-2.8,4.2,-5,-1.8,-5
"historical",1965,-1.3,5.7,-0.1,-2.9,0.4,2.3,1.4,1.6,1.4,-1.3,1.5,-1.9,4.2,-1.2,2.9,-2.2,4.3,-3.7,-3.4,-3.7
"historical",1966,0,8.9,1.9,-1.1,1.5,1.8,-0.3,4.3,-0.2,-4.3,0.6,-3.2,3.9,-3.3,-1.7,-2.4,1.8,-4.6,-2.4,-4.6
"historical",1967,0.3,4.7,1.4,-1.2,1.3,0,-0.2,1.5,1.1,-1.4,-2.3,-4.5,2.6,0.1,0.8,-2.7,2.1,-4.4,-2.8,-4.5
"historical",1968,0.5,4.9,1.8,1.4,2.2,2.4,0.9,3.1,-2.5,-6.3,-1.4,-5.6,2.5,-1.5,2.4,-1.2,3.6,-2.2,-2,-6.3
"historical",1969,-0.1,7.4,2.3,-0.7,-0.2,1.9,0.5,4.4,-2.1,0,-0.6,-4.5,3.1,-1.3,2.8,-1.9,1.3,-8.5,-4.5,-8.5
"historical",1970,-2,4.7,-3.9,-0.2,-1.5,0.9,0.3,4.2,-1.9,-0.4,-2.1,0.3,3.8,0.7,1.1,-3.4,4.4,-4.2,-3.3,-4.2
"historical",1971,0.4,8.7,0.4,-0.3,-1.3,3.1,-1.8,3.7,-1.5,-6.6,-2.2,-3.4,1.2,1.9,-0.2,-3.5,5.7,-2.3,-2.1,-6.6
"historical",1972,-1.1,7,1.7,-0.2,-0.2,2,4.2,3,1.5,-0.4,-1.9,0.5,5,0.9,-1.9,-1.4,1.7,-3.6,-3.5,-3.6
"historical",1973,0.3,9.8,2,-0.5,-0.3,0.2,3.9,1.4,-0.5,2,-2,-5.1,2.8,-2.9,-0.7,-3.9,4.9,-7.2,-1.4,-7.2
"historical",1974,0.3,5.4,0.2,0.7,-1.8,1.7,1.8,4.2,-1.5,-0.8,-5.6,-2.7,4.7,0.1,1,-1.5,5.3,-11.1,0.1,-11.1
"historical",1975,0.4,8.2,-3.7,-0.8,1.4,1.5,3.5,-0.2,-5.9,-0.7,-1.7,-4,-2.5,-1.3,0.6,-6.5,2.8,-5.4,-2.4,-6.5
"historical",1976,-0.7,5.8,2.2,-4,-0.2,0.3,2,4.1,1.8,0.3,-3.7,-1.8,3,-0.9,2.2,-4.4,1.9,-3.2,-5.9,-5.9
"historical",1977,0.4,9.1,3.4,-0.2,-0.3,0.5,3.6,3.9,-2.1,-1.2,-0.5,-2.9,-1.3,-0.2,0.8,0.4,4.1,-3.6,-3.8,-3.8
"historical",1978,0.7,8.3,2.3,-3.8,0.8,1.8,2.5,1.4,1.8,-1.4,-1.5,-1.2,3.5,0.1,0.2,-2.2,2.4,-12.1,-4.2,-12.1
"historical",1979,0.1,10.2,1,-3.8,0.1,0.8,3.3,-1.7,1.2,-1.6,-5,-1.1,1.8,3.3,0,-1.3,5,-4.3,-2.8,-5
"historical",1980,0.3,7.8,1.9,-1.5,0.4,1.6,1.6,2.9,-0.8,-5.8,0.3,-3.9,4.4,2.8,0.3,-3,4.1,-7.3,-3.1,-7.3
"historical",1981,-1.4,4,-0.4,1.4,0.9,1.5,2.2,0.6,-1.2,-4.3,2.2,-1.5,1.3,1.2,1.3,-0.3,2.5,-5.8,-2,-5.8
"historical",1982,1.3,5.2,4.9,-1.9,-0.7,2.1,3.8,2.2,-1.1,-1.7,-0.5,-0.3,3.2,-0.2,-0.2,-4.3,2.6,-4.6,-5.4,-5.4
"historical",1983,-0.3,7.8,3,0.3,0.6,2.2,1.6,3.9,-2.7,-1.7,-0.3,0.1,3.7,-0.5,0.5,-3.8,3.5,-8.4,-3.1,-8.4
"historical",1984,-1.2,4.6,1,-3.9,2.6,-0.1,1.8,3.8,-2.3,-0.7,-2.8,-2.6,4.2,1.7,2.5,-5.1,3.5,-4.9,-2.9,-5.1
"historical",1985,-0.5,0,4.9,0.5,-1.8,2.3,3,0.9,1.1,-1.2,-0.2,-2.2,2.3,0.3,0.6,-6.5,6.6,-4.1,-0.4,-6.5
"historical",1986,-0.8,7.1,-0.3,0.1,1,0.6,-1.1,1.6,-0.7,-2,-4.1,-3.7,4.9,-2.3,1.4,-5,0.2,-4.8,-2.8,-5
"historical",1987,-0.3,9.9,-1.9,1.1,-1.2,0.8,-3.6,3.1,-3.1,-2.4,-2.4,-3.5,1.5,-0.5,1.6,-4.6,4,-6.8,-1.4,-6.8
"historical",1988,-0.1,1.1,-0.7,-0.7,0.8,1.2,2.7,3.3,0.6,-3,-1,-4.9,1.8,-0.7,1.1,-2.4,5.5,-7.7,-1.9,-7.7
"historical",1989,0.6,5.6,-1.2,0.2,1.1,2.7,2.6,3.5,-1,-2,-6.1,-3,3,2,1.2,-3,5.5,-9.3,-3.6,-9.3
"historical",1990,-1.6,6.4,2.1,-1.2,0.8,-1,3.7,3.2,1.2,-1.8,-5,-2,-0.7,-0.6,2.3,-4.5,4.6,-7.5,-3.7,-7.5
"historical",1991,-0.6,6,0.6,-3.2,0.6,0.8,3.6,4.7,0,-0.8,-1.5,-1.5,3.7,1.5,2.3,-2.1,6.4,-2.6,-3.3,-3.3
"historical",1992,0.9,7.1,0.8,1.9,-0.3,1.7,3.2,5.7,-1,-3.8,-5,-1.6,0.9,0.3,-2.9,-1.7,2.7,-5.9,-1.7,-5.9
"historical",1993,0.6,8.3,0.8,0.9,1.5,1.5,2.6,3.2,0.8,-1.9,-5.2,-0.8,0.9,0.1,2.9,-7.2,5.2,-7.5,-1.9,-7.5
"historical",1994,0.6,5.8,1.8,0.2,-0.3,-1.5,0.7,2.7,-2.5,-0.3,0.1,-1.4,3.7,1.9,1.8,-1.1,6,-7.2,-1.3,-7.2
