"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1956,-0.5,-10,0.5,3.4,2.7,3.7,2.4,1.3,0.3,-4.2,2.7,-3.4,3.3,2.1,0.5,-1.1,3.9,0.6,-1.7,3.9
"historical",1957,-1.2,-12.5,0.8,2.3,0.4,3.1,1.6,1.3,-3.4,-5.2,1.5,0.6,4.9,2.7,0.8,-0.9,2.2,-1.6,-1.7,4.9
"historical",1958,-0.2,-9.8,2.5,1.8,1.6,2.3,3.4,1.7,-0.1,-2,1.5,-3.5,3.4,3.1,2.2,-0.3,4.2,-1.1,-2.2,4.2
"historical",1959,-0.2,-14.4,-0.1,-1.2,1.3,2,2.5,-1.5,-2.9,-2.7,2.5,-1.7,1.5,4.2,1.7,-2.4,3.2,0.3,-1.7,4.2
"historical",1960,-0.4,-9.5,-0.9,2.9,3.1,3.8,1.4,-1.5,-1,-2.5,2.4,0.8,3.9,2.2,1.4,-1,3.1,1.2,-1.8,3.9
"historical",1961,-1.4,-6.7,1.9,2.6,1.2,1.4,3,-2.6,-2.7,-3.6,3.1,-1.6,2.8,4.1,0.7,-1.8,2.2,-1.3,-2.6,4.1
"historical",1962,0.1,-13.2,2.2,2.7,2.5,3.1,2.7,2.3,0.3,-2.1,1.8,-2.4,1.5,2.6,0.7,-0.4,2.1,-1.2,-2.5,3.1
"historical",1963,0,-7.3,1.6,0.3,1,2.1,0.1,0.5,-1.7,-1.7,2.7,-1.9,1.9,3.3,1.9,-0.9,2.9,0.8,-2.4,3.3
"historical",1964,-0.1,-3.5,-1.5,0.4,0.6,1.6,1.4,-1,-3.2,-3.1,2.8,-3.6,3.4,3.3,0.1,-0.1,3.1,1.8,-3.8,3.4
"historical",1965,-0.9,-5.2,-5,-0.4,2,2.2,1.9,-2.3,-1.1,-5,2.2,-2.1,3.7,3.8,2.3,1.4,2.2,-0.2,-2,3.8
"historical",1966,-0.3,-6.8,1.5,1.6,2.4,2,0.7,2,-1.5,-2.4,2.4,-0.1,2.5,2.1,1.2,0.4,3.1,-2.9,-2.5,3.1
"historical",1967,-1.3,-14.9,-1,2.3,1.8,0.8,-0.1,3.3,-0.3,-5.3,2.2,-2.5,2.8,3.4,2.2,-0.3,3.7,1.6,-4.4,3.7
"historical",1968,-0.3,-11.9,0.1,4.1,1.4,2.7,1,-0.4,-3,-1.5,2.6,1,2.4,3.7,-1.6,-1.1,3.5,-0.2,-2,4.1
"historical",1969,-0.6,-10.9,1.2,0.8,0.7,1.3,0.7,0.5,0,-3.4,2,-0.2,3.7,4,1.4,2.7,0.9,-1.6,-1.5,4
"historical",1970,-0.5,-7.1,3.6,3.1,2.9,3.2,1.7,2.2,0,-3.1,0.8,1.9,3.3,5.2,-0.1,0.1,2.8,0.2,-0.7,5.2
"historical",1971,-0.7,-15.8,-2.2,0.7,0.4,2.1,2.6,-0.6,-2.5,-2.9,1.5,-2.1,3.8,1.8,0.3,0.1,4,-1.9,-1.7,4
"historical",1972,-0.7,-1.2,-0.7,2.3,1.6,2.6,2.7,2.4,0,-4.1,2.1,-0.4,4.1,3.9,0.9,0.9,2.8,-1.6,-0.9,4.1
"historical",1973,-0.6,-6,0,2.2,0.7,0.4,2,1.6,-0.5,-0.8,3.4,0.8,1.1,3.5,1,-0.6,2.6,-1,-1.8,3.5
"historical",1974,-0.1,-6.6,-3.5,3.8,2.6,2.4,1.8,2,-0.7,-3,2.5,1.3,2.8,3.1,-0.1,-0.1,4,0.4,-1.6,4
"historical",1975,-1,-20.4,-0.2,3.4,2.1,1.7,3,-1.5,0.2,-5.1,1,-0.8,2.8,3.5,2.3,1.2,2.3,1,-1.2,3.5
"historical",1976,0.3,-8.6,1.1,0.9,2.1,2.1,1.5,1.9,-0.9,-2.9,3,2.5,2.9,2.4,1.2,-2.9,3.5,0.5,-1.7,3.5
"historical",1977,-0.8,-6.9,-0.7,-1.2,0.8,1.8,1.6,-0.4,-1.9,-3.5,1.5,-0.8,0.5,2.8,1.4,-2.2,2.5,1,-2.4,2.8
"historical",1978,0.2,-4.2,0.1,1,2.4,2.4,3.1,-4.5,0.6,-3.7,4.1,0.4,3.1,3,-0.3,-2,2.9,-0.6,-3.3,4.1
"historical",1979,1.1,-8.8,2,2.3,0.7,3.6,3.4,3.1,-2.2,-2,4.2,-0.6,2.2,3.3,1.5,-1.2,3,-1.3,-2.1,4.2
"historical",1980,-0.6,-11.2,-1,1.3,0.8,2.3,1.7,3.2,1.3,-3.8,2.2,-0.2,3.6,2.4,2.3,0.6,2.9,0.3,-1.4,3.6
"historical",1981,-0.4,-11.9,1.4,2,1.6,3.1,3.4,0.3,-1.1,-1.4,2.9,0.5,3,3.1,0.9,-1.9,3.3,-0.2,-3.3,3.4
"historical",1982,0.2,-8.7,2.1,1.8,1.8,3.7,3.4,-0.4,-3.4,-2.7,1.8,0.6,0.7,3.4,-0.6,-1,3.2,-0.6,-2.6,3.7
"historical",1983,-0.4,-2.2,0,-0.3,2,2.7,-0.3,0.5,-0.4,-4.2,5.4,-0.5,4.8,3.8,1.5,-2.6,2.3,-3.3,-2.2,5.4
"historical",1984,-0.6,-11.3,2.6,3.1,1.1,3.7,-0.9,-1.1,0.6,-4.1,1.1,-2.5,3.9,1.8,-0.3,-0.3,3.6,1.2,-1.4,3.9
"historical",1985,0.2,-17,2.4,2,2.1,2.1,2.6,1.2,-0.1,-2.4,2.8,0.4,4.3,2,1.5,-2.4,4.9,-1,-1.8,4.9
"historical",1986,-1.1,-9.6,0.6,1.6,1.2,2.4,1.7,1.8,-1.7,-3.1,1.6,3.2,3,1.8,1.4,-1.4,2.2,0.2,-3.8,3.2
"historical",1987,-0.7,-8.4,3.1,2.1,2.6,3.2,2.5,0.3,-1.8,-2.6,2.1,0.8,1.8,1.8,1.8,-2.5,1,-2.7,-1.4,3.2
"historical",1988,-0.7,-7.6,1.7,1.6,1.1,2.3,2.1,1.6,2,-3.6,3,-0.7,4.1,2.3,2.4,0.8,4.2,0.9,-1.8,4.2
"historical",1989,-0.7,-5.6,1.8,2.2,2.8,4.6,2.2,0.9,-1.5,-2,1.7,1.2,3.4,3.6,1.3,0.1,3.6,-0.9,-2.5,4.6
"historical",1990,-0.3,-13.2,-1.3,1.7,3.1,3.7,4,1.5,0.1,-2.1,1.6,-0.4,4.8,2.4,2.6,-0.3,3.5,1.4,0,4.8
"historical",1991,0,-9.1,2.8,2.3,3.2,2,1.7,4.7,-1.5,-2.1,1,-0.1,2.7,2.7,0.9,-1,3.1,0.7,-1.7,4.7
"historical",1992,0,-11,-0.5,1.8,1.3,2.7,3.4,3.2,-0.1,-1.2,3.1,1.2,4.8,3.5,-0.9,-2.4,2.4,-1.6,-2.1,4.8
"historical",1993,0.2,-7.9,-1.1,2.3,1.8,3,4,0.6,-1.3,-1.3,3.3,-0.6,2.9,3.4,2.4,-1.2,3.3,-2.8,-2.9,4
"historical",1994,-0.7,-9.9,1.6,0.9,1.6,2.4,2.1,0,0.4,-4.3,0.2,-3.4,4.7,3.5,2.9,-0.9,3.6,-0.8,-1.5,4.7
"historical",1995,0.3,-5.6,0.2,2.4,2.8,4.7,2.4,-0.6,-2.6,-4.4,1.7,-0.6,1.8,3.3,0,-3.6,3.2,-3.4,-4.3,4.7
"historical",1996,-0.2,-8.3,-1,0.1,3,3,3,-1.2,-1.1,-3,3.7,2.4,3,3.1,1.4,-0.4,3.1,-0.6,-2.8,3.7
"historical",1997,-0.1,-6.7,0.7,1.8,3.3,2.9,0.6,0,-0.9,-3.4,3.1,-2.3,3.3,3.8,1.3,-2.3,2.4,-1.9,-0.9,3.8
