"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,2.9,9,0.6,2.3,5.5,5.1,NA,5.4,3.1,2.7,4.6,2.8,3.2,5.8,3.8,2.4,5.8,0.6,3.2,3.8
"historical",1851,3.2,12,0.8,2.1,5.1,6,4.4,0.6,0.8,3.3,4.6,4.1,2.1,5,4.9,1.8,5.1,-1.2,2.7,3.5
"historical",1852,2.3,8.1,2.5,1.6,4.8,6.6,5.6,3.6,1.3,4,3.3,3.3,2.7,5.3,4,1.7,5.7,-0.3,2.9,3.6
"historical",1853,3.5,10.8,0.2,2.1,5.3,6.7,2.8,4,2.6,3.6,3.7,1.9,3.3,4.9,3.2,2.1,6.8,-1.2,3.4,3.7
"historical",1854,2.1,11.2,1.9,1.9,4.8,4.8,3.6,3.2,1.9,2.5,4.8,4.7,4.6,4.9,4.6,2,3.9,-0.3,3.5,3.7
"historical",1855,2.3,10,0.8,2.2,7.1,6,5.1,0.6,1.2,2.8,3.7,1.6,1.3,2.7,2.6,2.1,3.8,-0.7,3.5,3.1
"historical",1856,3,13.4,3.9,0.8,4,6.4,3.5,5.3,1.6,4.1,3.1,3.2,3.5,4.7,2.8,0.1,4.7,-1.3,3.8,3.7
"historical",1857,3.4,9.3,2.9,2.2,5.2,7.1,3.7,4.5,2,3.6,5.2,4,2.3,4.5,3.4,2,5.7,-0.3,4,3.9
"historical",1858,1.7,10.1,0.9,2.2,5.6,6.2,5.7,2.7,1.4,4,4.5,3.7,2.1,4.3,4.1,2,4.7,-0.4,1.5,3.5
"historical",1859,2.8,10.5,-1,2.3,4.4,5.8,5.1,1.2,0.7,5.6,3.7,4.1,2.9,5.2,3.1,2.3,4.9,-1.7,4,3.5
"historical",1860,2.2,11.9,2.7,2.4,4.5,6.1,3,3.5,0.2,3.4,4.1,3.8,3,5.8,3.8,1.4,5.4,-1.4,2.9,3.6
"historical",1861,4,12.5,0.8,2.2,3.4,4.6,4.1,2.7,0.3,2.5,4.4,1.9,1,4.7,3.4,1.6,6,-3.7,4.7,3.2
"historical",1862,2.3,10.3,0.1,2.2,5.6,8.1,5.5,3,2.6,4.3,2.9,3,3.2,3.4,2.9,0.5,3.2,-1.4,4.3,3.5
"historical",1863,3.3,12.6,2.1,2.7,4.9,5.7,2.4,3.4,1.7,4,4.2,2.8,2.7,5,3,1.8,3.9,-0.6,2.6,3.6
