"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,4.4,7,1.8,6.6,6.6,9,NA,4.5,8.4,2.8,1.4,0.7,3.1,7.1,6.3,2.1,7.5,-2.3,4.3,9
"historical",1851,3.7,7.2,2.5,6.3,6.8,6.9,0,4.4,5,3.7,1.3,1.6,7.2,5.5,6.4,3,8.4,-1.7,4.3,8.4
"historical",1852,3.7,12.9,1.5,4.8,5.8,7.8,4.2,4.3,3,2.4,1.6,3,8.1,5.7,3.5,2.9,7.4,-1.8,5.4,12.9
"historical",1853,4.9,10.2,3.8,7.3,5.7,8.7,1.6,7.4,5.8,2.9,1.1,1.6,8,5.7,4.3,2.7,6.3,0.7,6.2,10.2
"historical",1854,3.7,9.3,3.8,5.5,6.2,6.8,1.6,4.6,3.9,5.1,2.7,2.4,7.3,7.9,4.9,2.3,6.1,-0.9,5.7,9.3
"historical",1855,3.2,7.5,5.5,4.1,7.7,6.4,2.3,3.2,5.4,2.9,2.2,2.3,8.8,7.6,4.7,3.6,7.4,-1.6,4.6,8.8
"historical",1856,4.3,8.2,1.7,6.1,8.7,8.3,2.3,4.3,3.5,2.9,1.9,2.4,9.9,5.7,4.7,7.7,5,-0.7,3.9,9.9
"historical",1857,6.7,12.9,5.8,3.7,5.9,7.3,3.8,3,7.3,2.7,2.1,1.8,9.6,5.9,5.6,5,7.4,-3.1,6.2,12.9
"historical",1858,3.5,3.6,1.8,5.7,7.3,7,1.8,4.3,2.4,4.1,1.5,1.8,6.3,7.6,9.5,2.1,8.2,-3.9,5.1,9.5
"historical",1859,5.8,2.8,2.5,5.3,8.4,6.9,2.3,3.7,8.1,2.7,0.6,1.5,6,8.3,5.2,3,8.7,-0.5,5.7,8.7
"historical",1860,5.2,9.2,5.8,5.3,5.9,7.3,1.2,3.9,5.2,2.8,1.8,1.3,8.4,4.7,6.1,1.9,6.4,-2,5.9,9.2
"historical",1861,3.6,15.8,4,3.4,5.1,6.9,1.9,4.2,6,2.4,1.4,2.2,7.9,9.8,2.5,3,5.3,-2.1,3.8,15.8
"historical",1862,3.8,8.5,2.9,4.5,6,9,2.5,3.9,5.1,3.9,1.8,1.4,9,9.3,3.9,2.6,6.3,-0.6,4.1,9.3
"historical",1863,3.7,13.2,2.4,2.8,5.8,7.9,2.4,6,6.5,3.2,2.1,2.3,5.4,7.5,7.1,1.4,6.8,-1,6.9,13.2
"historical",1864,3,5.7,6.3,4.9,6.5,8.4,2.8,2,6.8,2.5,1.5,1,8.9,4.7,5.8,2.9,5.6,0.1,4.6,8.9
"historical",1865,5.2,13,3,5.7,6.9,8.1,-0.2,5.2,2.9,4.5,1.8,1.3,8.5,7.1,7.2,3.8,5.6,-3.4,5.6,13
"historical",1866,4.8,5.6,0.4,4.8,8.1,7.3,1.6,3,5.1,4.6,1.1,1.8,8.9,9.1,5.4,3.9,5.9,-2.3,4.8,9.1
"historical",1867,3.1,9.8,3.5,5.5,6.8,8.6,2.5,7,5.5,4,1.6,3.1,4.7,8.3,4.5,3.1,8.1,-4,4.5,9.8
"historical",1868,4.8,15.4,1.9,5.1,4,7.2,2.4,4.7,4.8,1.5,3.5,1.5,4.6,4.5,2.7,4.9,8.3,-3.7,5,15.4
"historical",1869,5.2,11,2.1,4.4,7.8,7.6,3,4.5,5.2,4.1,1.8,1.6,11.5,7,4,2.3,7.2,-1.6,4.4,11.5
"historical",1870,5.2,10.7,2.1,6.1,6.1,7.7,1.9,5.5,4.2,4.6,1.8,0.6,9.4,8.5,3.9,3.5,7.3,-2.5,4.5,10.7
"historical",1871,3.4,12.2,5.1,4.8,4.9,7.4,2.2,5.2,2.5,2,2.3,1.9,9.1,8.7,4.8,2.3,8.9,-2.2,7.8,12.2
"historical",1872,5.9,10.4,3.2,3.8,7.8,7.7,3.7,5.1,3.4,4.9,1.6,3.4,8.5,9.9,6.1,3.3,7.3,-1.6,5.6,10.4
"historical",1873,3.6,11.4,3.5,4.2,5,6.7,4.1,7,4.5,2,1.7,2.2,6.5,6.9,4.6,5.5,5.5,-1.7,6,11.4
"historical",1874,4.5,6.6,3,4.8,6.6,5.6,1,4.4,2.4,3.8,2.3,2.8,9.2,7.2,3.4,6.2,6.5,-4,5.3,9.2
"historical",1875,3.8,9.6,3.4,4.5,6.3,7.5,2.3,3.7,2.3,3.9,1.2,1.7,9.8,11.2,6.8,2.1,7.2,-1.9,5,11.2
"historical",1876,3.3,7,6.4,5.4,6.5,10.6,1.3,2.4,7.4,2.6,2.9,2.5,9.5,5.7,5.8,2.6,7.5,-2.1,4.7,10.6
"historical",1877,4.7,9.5,3,5.1,4.8,5.8,2.6,4.7,6.8,3.6,0.9,1.8,5.3,8,4.7,3.2,6,-3.3,4.8,9.5
"historical",1878,6.3,7,4,8.3,5.9,8.6,3.5,5.2,6.4,2.4,2.5,0.3,6.3,7.2,6,2.7,5.4,-2.6,4.8,8.6
"historical",1879,5.3,15.4,4.2,3.9,6,7,2,4.9,4.7,5,1.2,2.5,6.8,8.3,4.9,4.5,7.2,-0.9,4.8,15.4
"historical",1880,4,12.7,3,3.9,7.2,8,2.5,5.1,5,4.3,1.5,1.5,9,11.9,5.4,4.7,8.5,-0.2,4,12.7
"historical",1881,3.1,10.4,3.6,5.5,4.7,5.9,4.2,4.4,4.4,2,1.1,1.1,8.6,9.7,5.9,3.3,6.5,-1.6,5.3,10.4
"historical",1882,3.3,5.9,1.2,8.4,6.8,8.2,1.9,5.4,8.1,3,0.8,3.4,7.2,5.9,5,4.6,5.2,-1.7,4.4,8.4
"historical",1883,6.2,10.4,1.7,4.5,6.3,7.7,2.8,3.7,5.1,3.5,0.9,2.6,9,13.1,4.2,0.3,6,-2,5.5,13.1
"historical",1884,4.3,11.7,0.7,3.9,7.7,7,0.6,5.9,4,2.5,2.6,1.1,7.5,8.3,7,2,4.9,-3.4,4.2,11.7
"historical",1885,4.3,6.5,3.9,5,6.4,8.2,3.8,2.7,2.4,4.1,2.9,1.3,6.3,8.7,3.6,2.5,6.9,-1.1,6.3,8.7
"historical",1886,4,6.8,2.6,4.4,6.4,7.7,1.1,6.4,3.5,2.8,1.2,2.9,8.1,5.8,3.8,6.7,7.1,-0.5,4.9,8.1
"historical",1887,3.3,14.2,2.7,5.4,4.6,6.3,1.2,3.9,3.1,3.3,0.6,0.6,8.5,7.3,3.6,5.4,4.3,-0.3,5.1,14.2
"historical",1888,3.3,9.4,1.4,4.3,7.2,6.7,2.1,5.5,5,1.1,0.7,1.3,9.2,5.7,7.2,4.3,6.4,-1.3,4,9.4
